source,task,baseline,cases,exact_error_rate,auroc_exact_error,auprc_exact_error,spearman_char_error,top20_risk_exact_error,bottom20_risk_exact_error,risk_gap
all,all,event_risk_1_minus_p,21000,0.735904761904762,0.7088339329436718,0.8470093795183451,0.28693842503164185,0.8585714285714285,0.42333333333333334,0.4352380952380952
all,all,token_marginal_entropy,21000,0.735904761904762,0.8035907525146695,0.8983698003349487,0.4952644580928052,0.9319047619047619,0.2835714285714286,0.6483333333333333
all,all,sequence_entropy,21000,0.735904761904762,0.7798982996710081,0.878275722212466,0.43815072072154904,0.9047619047619048,0.30714285714285716,0.5976190476190476
all,all,viterbi_margin_inverse,21000,0.735904761904762,0.810548904695862,0.8941620664304356,0.4534798663419791,0.9152380952380952,0.24047619047619048,0.6747619047619047
all,all,max_sequence_probability_inverse,21000,0.735904761904762,0.8082642432287793,0.8987357412356134,0.5153384733851156,0.9357142857142857,0.2319047619047619,0.7038095238095239
all,all,neg_log_viterbi_probability,21000,0.735904761904762,0.8082642432287793,0.8987357412356134,0.5153384733851156,0.9357142857142857,0.2319047619047619,0.7038095238095239
real_source,invoice_6d,event_risk_1_minus_p,3000,0.7203333333333334,0.7928300421548096,0.88623072105163,0.4948748008532866,0.915,0.33666666666666667,0.5783333333333334
real_source,invoice_6d,token_marginal_entropy,3000,0.7203333333333334,0.8372117265712085,0.9197496943308723,0.6262470424135594,0.9583333333333334,0.22333333333333333,0.7350000000000001
real_source,invoice_6d,sequence_entropy,3000,0.7203333333333334,0.8275706684595652,0.9128877296490683,0.6107728329553467,0.9533333333333334,0.23,0.7233333333333334
real_source,invoice_6d,viterbi_margin_inverse,3000,0.7203333333333334,0.7967049422556877,0.8787791010083439,0.4638887830448432,0.9066666666666666,0.20333333333333334,0.7033333333333333
real_source,invoice_6d,max_sequence_probability_inverse,3000,0.7203333333333334,0.8122420479195888,0.9015227422193242,0.588642662664726,0.9483333333333334,0.21833333333333332,0.73
real_source,invoice_6d,neg_log_viterbi_probability,3000,0.7203333333333334,0.8122420479195888,0.9015227422193242,0.588642662664726,0.9483333333333334,0.21833333333333332,0.73
real_source,invoice_c6d,event_risk_1_minus_p,3000,0.6546666666666666,0.7354406341168052,0.8116272875830348,0.4346943144584065,0.8333333333333334,0.2866666666666667,0.5466666666666666
real_source,invoice_c6d,token_marginal_entropy,3000,0.6546666666666666,0.8126572710330348,0.8802770909317514,0.6044642417148558,0.9216666666666666,0.16,0.7616666666666666
real_source,invoice_c6d,sequence_entropy,3000,0.6546666666666666,0.8035414487807563,0.8726355849272398,0.5885288432855175,0.925,0.17,0.755
real_source,invoice_c6d,viterbi_margin_inverse,3000,0.6546666666666666,0.7853243026995573,0.8364530595835138,0.48128805285987397,0.8583333333333333,0.17166666666666666,0.6866666666666666
real_source,invoice_c6d,max_sequence_probability_inverse,3000,0.6546666666666666,0.7968166377025847,0.8624891653731682,0.5755259719193423,0.9166666666666666,0.15833333333333333,0.7583333333333333
real_source,invoice_c6d,neg_log_viterbi_probability,3000,0.6546666666666666,0.7968166377025847,0.8624891653731682,0.5755259719193423,0.9166666666666666,0.15833333333333333,0.7583333333333333
real_source,stock_5d,event_risk_1_minus_p,3000,0.7143333333333334,0.8333552947889822,0.8978802584659311,0.5666869157301524,0.9166666666666666,0.245,0.6716666666666666
real_source,stock_5d,token_marginal_entropy,3000,0.7143333333333334,0.8908023790245956,0.9428324102485433,0.7027830489989011,0.9666666666666667,0.135,0.8316666666666667
real_source,stock_5d,sequence_entropy,3000,0.7143333333333334,0.8818671520692863,0.9371302434319992,0.6893721340543586,0.9633333333333334,0.14666666666666667,0.8166666666666667
real_source,stock_5d,viterbi_margin_inverse,3000,0.7143333333333334,0.8390657270067643,0.8956532168816035,0.5188149396592927,0.895,0.15666666666666668,0.7383333333333333
real_source,stock_5d,max_sequence_probability_inverse,3000,0.7143333333333334,0.8651594755604392,0.9239080376484348,0.6634395156240563,0.9583333333333334,0.13,0.8283333333333334
real_source,stock_5d,neg_log_viterbi_probability,3000,0.7143333333333334,0.8651594755604392,0.9239080376484348,0.6634395156240563,0.9583333333333334,0.13,0.8283333333333334
semi_real,amount,event_risk_1_minus_p,3000,0.781,0.8046059670601442,0.9220323856753542,0.5177568019627785,0.96,0.4166666666666667,0.5433333333333332
semi_real,amount,token_marginal_entropy,3000,0.781,0.8930581784141498,0.9618012353963444,0.7249368025955637,0.985,0.245,0.74
semi_real,amount,sequence_entropy,3000,0.781,0.8883639923578184,0.959722897736536,0.7192888824501147,0.985,0.24833333333333332,0.7366666666666667
semi_real,amount,viterbi_margin_inverse,3000,0.781,0.8413013016524497,0.922880429015503,0.4997445807568142,0.9316666666666666,0.25333333333333335,0.6783333333333332
semi_real,amount,max_sequence_probability_inverse,3000,0.781,0.8834307445150587,0.9566542121845845,0.7080633308028879,0.9833333333333333,0.23666666666666666,0.7466666666666666
semi_real,amount,neg_log_viterbi_probability,3000,0.781,0.8834307445150587,0.9566542121845845,0.7080633308028879,0.9833333333333333,0.23666666666666666,0.7466666666666666
semi_real,date,event_risk_1_minus_p,3000,0.5743333333333334,0.7219606130335763,0.7918404526232924,0.4001450312029722,0.8816666666666667,0.32666666666666666,0.555
semi_real,date,token_marginal_entropy,3000,0.5743333333333334,0.7233290808268618,0.7667180994810593,0.43154850733550054,0.8,0.27166666666666667,0.5283333333333333
semi_real,date,sequence_entropy,3000,0.5743333333333334,0.7170684883816585,0.7607379441202545,0.42016055574198274,0.79,0.27666666666666667,0.5133333333333334
semi_real,date,viterbi_margin_inverse,3000,0.5743333333333334,0.7454963502223135,0.7666412803901566,0.44410738862597016,0.8266666666666667,0.225,0.6016666666666667
semi_real,date,max_sequence_probability_inverse,3000,0.5743333333333334,0.7241346634119161,0.7644273822160434,0.4303517536869836,0.8,0.25166666666666665,0.5483333333333333
semi_real,date,neg_log_viterbi_probability,3000,0.5743333333333334,0.7241346634119161,0.7644273822160434,0.4303517536869836,0.8,0.25166666666666665,0.5483333333333333
semi_real,dose,event_risk_1_minus_p,3000,0.7866666666666666,0.8509345206567797,0.9366714881367094,0.5296105331126294,0.94,0.2916666666666667,0.6483333333333332
semi_real,dose,token_marginal_entropy,3000,0.7866666666666666,0.8989175052966102,0.964749209296046,0.658831893356659,0.99,0.22833333333333333,0.7616666666666667
semi_real,dose,sequence_entropy,3000,0.7866666666666666,0.8935513771186441,0.9621934155981514,0.6561515606465302,0.9883333333333333,0.24333333333333335,0.7449999999999999
semi_real,dose,viterbi_margin_inverse,3000,0.7866666666666666,0.8576602224576271,0.9396547551771204,0.4980664194879673,0.9433333333333334,0.2833333333333333,0.66
semi_real,dose,max_sequence_probability_inverse,3000,0.7866666666666666,0.8891118246822034,0.9582362062204735,0.6527597414413142,0.98,0.215,0.765
semi_real,dose,neg_log_viterbi_probability,3000,0.7866666666666666,0.8891118246822034,0.9582362062204735,0.6527597414413142,0.98,0.215,0.765
semi_real,product_code,event_risk_1_minus_p,3000,0.92,0.8239598429951691,0.9754387519611313,0.5164607269697501,0.98,0.7233333333333334,0.2566666666666666
semi_real,product_code,token_marginal_entropy,3000,0.92,0.9208559782608695,0.9918489996297899,0.7355734546119159,1,0.69,0.31000000000000005
semi_real,product_code,sequence_entropy,3000,0.92,0.9158574879227053,0.9912970775076957,0.7324871848740422,0.9983333333333333,0.6983333333333334,0.29999999999999993
semi_real,product_code,viterbi_margin_inverse,3000,0.92,0.8460673309178744,0.9746865885889325,0.3634649998018576,0.975,0.705,0.27
semi_real,product_code,max_sequence_probability_inverse,3000,0.92,0.9123429951690821,0.9905591709597291,0.7200946750235675,0.9983333333333333,0.6983333333333334,0.29999999999999993
semi_real,product_code,neg_log_viterbi_probability,3000,0.92,0.9123429951690821,0.9905591709597291,0.7200946750235675,0.9983333333333333,0.6983333333333334,0.29999999999999993
