dataset,split,seed,lam,epochs,train_sentences,dev_sentences,mean_p_event,median_p_event,mean_nll,token_accuracy,legal_viterbi_rate,constrained_legal_rate,conflict_count,mean_gold_path_prob,mean_legal_non_gold_mass,mean_illegal_mass,top_legal_mass,notes
synthetic_bio,synthetic_bio_dev,0,0.0,1,48,18,0.9967232644557953,0.9971587657928467,0.006504654884338379,1.0,1.0,1.0,0,0.974489152431488,0.02223411202430725,0.003276735544204712,0.9939141486713183,diagnostic-only; not benchmark/usefulness evidence
synthetic_bio,synthetic_bio_dev,0,0.1,1,48,18,0.9968198537826538,0.9971920251846313,0.006468057632446289,1.0,1.0,1.0,0,0.9746292730172476,0.022190580765406292,0.0031801462173461914,0.9940040290641455,diagnostic-only; not benchmark/usefulness evidence
synthetic_bio,synthetic_bio_dev,0,0.5,1,48,18,0.9971181154251099,0.997277170419693,0.0063353776931762695,1.0,1.0,1.0,0,0.9751365880171458,0.02198152740796407,0.0028818845748901367,0.9943183619009311,diagnostic-only; not benchmark/usefulness evidence
synthetic_bio,synthetic_bio_dev,0,1.0,1,48,18,0.9973670244216919,0.9973223507404327,0.0061895449956258135,1.0,1.0,1.0,0,0.9756932159264883,0.021673808495203655,0.0026329755783081055,0.994659281437938,diagnostic-only; not benchmark/usefulness evidence
synthetic_bio,synthetic_bio_dev,1,0.0,1,48,18,0.9959105451901754,0.995658814907074,0.007833083470662435,1.0,1.0,1.0,0,0.9694748818874359,0.02643566330273946,0.004089454809824626,0.9933496524519004,diagnostic-only; not benchmark/usefulness evidence
synthetic_bio,synthetic_bio_dev,1,0.1,1,48,18,0.9960513710975647,0.9957062900066376,0.007735292116800944,1.0,1.0,1.0,0,0.9698413014411926,0.02621006965637207,0.003948628902435303,0.9934858913158489,diagnostic-only; not benchmark/usefulness evidence
synthetic_bio,synthetic_bio_dev,1,0.5,1,48,18,0.9965105454126993,0.9960310757160187,0.00737162431081136,1.0,1.0,1.0,0,0.9712056815624237,0.025304863850275677,0.0034894545873006186,0.993964856415386,diagnostic-only; not benchmark/usefulness evidence
synthetic_bio,synthetic_bio_dev,1,1.0,1,48,18,0.996916780869166,0.9964401125907898,0.00700986385345459,1.0,1.0,1.0,0,0.9725643694400787,0.024352411429087322,0.003083219130833944,0.9944232591493756,diagnostic-only; not benchmark/usefulness evidence
synthetic_bio,synthetic_bio_dev,2,0.0,1,48,18,0.9952296713987986,0.9960064888000488,0.007094820340474446,1.0,1.0,1.0,0,0.9722193777561188,0.02301029364267985,0.004770328601201375,0.9927113973513157,diagnostic-only; not benchmark/usefulness evidence
synthetic_bio,synthetic_bio_dev,2,0.1,1,48,18,0.9954281250635783,0.9960995614528656,0.006984392801920573,1.0,1.0,1.0,0,0.9726391136646271,0.022789011398951214,0.004571874936421712,0.9929543938807621,diagnostic-only; not benchmark/usefulness evidence
synthetic_bio,synthetic_bio_dev,2,0.5,1,48,18,0.9960467716058096,0.9963831007480621,0.0066070159276326495,1.0,1.0,1.0,0,0.9740758339564005,0.021970937649408977,0.003953228394190471,0.9937351041884903,diagnostic-only; not benchmark/usefulness evidence
synthetic_bio,synthetic_bio_dev,2,1.0,1,48,18,0.9965614577134451,0.9965983033180237,0.006233334541320801,1.0,1.0,1.0,0,0.9755021035671234,0.021059354146321613,0.003438542286554972,0.9944236773629788,diagnostic-only; not benchmark/usefulness evidence
synthetic_transition_sparse,synthetic_transition_sparse_dev,0,0.0,2,3,9,0.8054193059603373,0.8164416551589966,0.2077234983444214,1.0,1.0,1.0,0,0.4359428783257802,0.36947642763455707,0.1945806940396627,0.6045296264413123,diagnostic-only; not benchmark/usefulness evidence
synthetic_transition_sparse,synthetic_transition_sparse_dev,0,0.5,2,3,9,0.8104965885480245,0.8204880356788635,0.2056185007095337,1.0,1.0,1.0,0,0.439724604288737,0.37077198425928753,0.1895034114519755,0.6095073468653595,diagnostic-only; not benchmark/usefulness evidence
synthetic_transition_sparse,synthetic_transition_sparse_dev,0,1.0,2,3,9,0.8135361671447754,0.8226532936096191,0.2042869726816813,1.0,1.0,1.0,0,0.4421177804470062,0.37141838669776917,0.1864638328552246,0.6125073932651324,diagnostic-only; not benchmark/usefulness evidence
synthetic_transition_sparse,synthetic_transition_sparse_dev,0,2.0,2,3,9,0.8339937925338745,0.8390342593193054,0.21937817335128784,1.0,1.0,1.0,0,0.4172105888525645,0.41678320368131,0.1660062074661255,0.5952701752586769,diagnostic-only; not benchmark/usefulness evidence
synthetic_transition_sparse,synthetic_transition_sparse_dev,1,0.0,2,3,9,0.7812325159708658,0.7777149677276611,0.2394639253616333,1.0,1.0,1.0,0,0.3903032143910726,0.3909293015797933,0.21876748402913412,0.5556768800333283,diagnostic-only; not benchmark/usefulness evidence
synthetic_transition_sparse,synthetic_transition_sparse_dev,1,0.5,2,3,9,0.7873364289601644,0.7832310199737549,0.2369225819905599,1.0,1.0,1.0,0,0.39451339840888977,0.3928230305512746,0.2126635710398356,0.5618296132094117,diagnostic-only; not benchmark/usefulness evidence
synthetic_transition_sparse,synthetic_transition_sparse_dev,1,1.0,2,3,9,0.790758470694224,0.7861762046813965,0.23537878195444742,1.0,1.0,1.0,0,0.3970996141433716,0.3936588565508525,0.20924152930577597,0.5654532849495669,diagnostic-only; not benchmark/usefulness evidence
synthetic_transition_sparse,synthetic_transition_sparse_dev,1,2.0,2,3,9,0.8239930272102356,0.8211013674736023,0.28422025839487713,1.0,1.0,1.0,0,0.3275066514809926,0.496486375729243,0.1760069727897644,0.5286652369842643,diagnostic-only; not benchmark/usefulness evidence
synthetic_transition_sparse,synthetic_transition_sparse_dev,2,0.0,2,3,9,0.7768561641375223,0.770614743232727,0.2289507786432902,1.0,1.0,1.0,0,0.407862921555837,0.36899324258168537,0.22314383586247763,0.5695292604907473,diagnostic-only; not benchmark/usefulness evidence
synthetic_transition_sparse,synthetic_transition_sparse_dev,2,0.5,2,3,9,0.7833053469657898,0.7771055102348328,0.22622384627660116,1.0,1.0,1.0,0,0.4121362666289012,0.3711690803368886,0.2166946530342102,0.575854372675837,diagnostic-only; not benchmark/usefulness evidence
synthetic_transition_sparse,synthetic_transition_sparse_dev,2,1.0,2,3,9,0.7870803078015646,0.7809506058692932,0.22452155749003092,1.0,1.0,1.0,0,0.41468630234400433,0.37239400545756024,0.21291969219843546,0.5794199616897239,diagnostic-only; not benchmark/usefulness evidence
synthetic_transition_sparse,synthetic_transition_sparse_dev,2,2.0,2,3,9,0.8192562262217203,0.8159357309341431,0.26800499359766644,1.0,1.0,1.0,0,0.3473758101463318,0.4718804160753886,0.18074377377827963,0.5467129425690587,diagnostic-only; not benchmark/usefulness evidence
sample_english,sample_english_test_builtin,0,0.0,1,30,30,0.9827495574951172,0.9841683506965637,0.11959218184153239,1.0,1.0,1.0,0,0.6904365539550781,0.2923130035400391,0.017250442504882814,0.8758177075688865,diagnostic-only; not benchmark/usefulness evidence
sample_english,sample_english_test_builtin,0,0.1,1,30,30,0.9831514000892639,0.9846086502075195,0.1193514347076416,1.0,1.0,1.0,0,0.6909300088882446,0.2922213912010193,0.016848599910736083,0.8765374824043419,diagnostic-only; not benchmark/usefulness evidence
sample_english,sample_english_test_builtin,0,0.5,1,30,30,0.9845559358596802,0.9861258268356323,0.11844991048177084,1.0,1.0,1.0,0,0.6927894830703736,0.29176645278930663,0.015444064140319824,0.8792412130470434,diagnostic-only; not benchmark/usefulness evidence
sample_english,sample_english_test_builtin,1,0.0,1,30,30,0.978169846534729,0.9772571325302124,0.12864668369293214,1.0,1.0,1.0,0,0.6708447217941285,0.3073251247406006,0.021830153465270997,0.869848803464978,diagnostic-only; not benchmark/usefulness evidence
sample_english,sample_english_test_builtin,1,0.1,1,30,30,0.9786442279815674,0.9776924848556519,0.12824379603068034,1.0,1.0,1.0,0,0.671672785282135,0.3069714426994324,0.02135577201843262,0.8705081776508797,diagnostic-only; not benchmark/usefulness evidence
sample_english,sample_english_test_builtin,1,0.5,1,30,30,0.9803373575210571,0.9792578220367432,0.12675995826721193,1.0,1.0,1.0,0,0.6747422814369202,0.30559507608413694,0.019662642478942872,0.8729769298962397,diagnostic-only; not benchmark/usefulness evidence
sample_english,sample_english_test_builtin,2,0.0,1,30,30,0.98481525182724,0.9864893555641174,0.12475659847259521,1.0,1.0,1.0,0,0.6830843091011047,0.30173094272613527,0.015184748172760009,0.8626208790484193,diagnostic-only; not benchmark/usefulness evidence
sample_english,sample_english_test_builtin,2,0.1,1,30,30,0.9851228594779968,0.9867490530014038,0.12448094685872396,1.0,1.0,1.0,0,0.683547294139862,0.3015755653381348,0.014877140522003174,0.8632797489451154,diagnostic-only; not benchmark/usefulness evidence
sample_english,sample_english_test_builtin,2,0.5,1,30,30,0.9862258672714234,0.9876849055290222,0.12341278394063314,1.0,1.0,1.0,0,0.6853586435317993,0.30086722373962405,0.01377413272857666,0.8658643552515244,diagnostic-only; not benchmark/usefulness evidence
conll2003_tiny,conll2003_dev_builtin,0,0.0,1,30,30,0.9827495574951172,0.9841683506965637,0.11959218184153239,1.0,1.0,1.0,0,0.6904365539550781,0.2923130035400391,0.017250442504882814,0.8758177075688865,diagnostic-only; not benchmark/usefulness evidence
conll2003_tiny,conll2003_dev_builtin,0,0.1,1,30,30,0.9831514000892639,0.9846086502075195,0.1193514347076416,1.0,1.0,1.0,0,0.6909300088882446,0.2922213912010193,0.016848599910736083,0.8765374824043419,diagnostic-only; not benchmark/usefulness evidence
conll2003_tiny,conll2003_dev_builtin,0,0.5,1,30,30,0.9845559358596802,0.9861258268356323,0.11844991048177084,1.0,1.0,1.0,0,0.6927894830703736,0.29176645278930663,0.015444064140319824,0.8792412130470434,diagnostic-only; not benchmark/usefulness evidence
conll2003_tiny,conll2003_dev_builtin,1,0.0,1,30,30,0.978169846534729,0.9772571325302124,0.12864668369293214,1.0,1.0,1.0,0,0.6708447217941285,0.3073251247406006,0.021830153465270997,0.869848803464978,diagnostic-only; not benchmark/usefulness evidence
conll2003_tiny,conll2003_dev_builtin,1,0.1,1,30,30,0.9786442279815674,0.9776924848556519,0.12824379603068034,1.0,1.0,1.0,0,0.671672785282135,0.3069714426994324,0.02135577201843262,0.8705081776508797,diagnostic-only; not benchmark/usefulness evidence
conll2003_tiny,conll2003_dev_builtin,1,0.5,1,30,30,0.9803373575210571,0.9792578220367432,0.12675995826721193,1.0,1.0,1.0,0,0.6747422814369202,0.30559507608413694,0.019662642478942872,0.8729769298962397,diagnostic-only; not benchmark/usefulness evidence
conll2003_tiny,conll2003_dev_builtin,2,0.0,1,30,30,0.98481525182724,0.9864893555641174,0.12475659847259521,1.0,1.0,1.0,0,0.6830843091011047,0.30173094272613527,0.015184748172760009,0.8626208790484193,diagnostic-only; not benchmark/usefulness evidence
conll2003_tiny,conll2003_dev_builtin,2,0.1,1,30,30,0.9851228594779968,0.9867490530014038,0.12448094685872396,1.0,1.0,1.0,0,0.683547294139862,0.3015755653381348,0.014877140522003174,0.8632797489451154,diagnostic-only; not benchmark/usefulness evidence
conll2003_tiny,conll2003_dev_builtin,2,0.5,1,30,30,0.9862258672714234,0.9876849055290222,0.12341278394063314,1.0,1.0,1.0,0,0.6853586435317993,0.30086722373962405,0.01377413272857666,0.8658643552515244,diagnostic-only; not benchmark/usefulness evidence
